gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_00001 	3	1	0	0	506	0	5	0	4	0	4	0	9	26	0	31	25	0	42	15	0	74	56	97	0	0	0
P9301_00011 	0	0	0	0	22	0	0	0	0	0	6	0	3	0	0	5	4	0	0	8	0	26	0	20	0	0	0
P9301_00021 	53	0	0	0	76	103	53	0	63	0	225	0	65	78	13	552	65	0	30	63	0	167	140	46	0	0	0
P9301_00031 	32	6	0	0	1	0	12	0	15	0	15	0	14	0	11	57	29	0	40	27	0	58	0	5	0	0	0
P9301_00041 	0	0	0	0	128	0	1	0	0	0	0	0	6	0	0	4	1	0	0	0	0	0	0	6	19	0	0
P9301_00051 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_00061 	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	11	0	15	0	0	0	0	0	0	0	0
P9301_00071 	16	0	0	0	39	29	21	5	22	0	45	0	33	19	0	63	16	0	15	44	0	28	0	0	0	0	0
P9301_00081 	3	0	0	0	6	0	0	0	0	0	5	0	2	0	0	0	1	0	38	2	0	0	0	2	27	0	0
P9301_00091 	6	0	0	0	163	0	12	0	14	0	33	0	2	16	1	33	8	0	0	23	0	86	0	14	40	0	0
P9301_00101 	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	12	2	0	0	7	0	0	0	0	0	0	0
P9301_00111 	4	0	0	0	196	0	3	0	6	0	0	0	12	0	11	12	12	0	27	0	0	21	29	35	2	0	0
P9301_00121 	91	2	5	0	20	5	44	47	54	97	55	0	124	0	0	161	58	98	0	0	0	53	0	2	0	2	34
P9301_00131 	2	0	0	0	0	0	5	0	0	12	0	0	1	0	0	5	6	0	0	1	0	16	0	0	0	0	0
